label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,-0.0680128708,0.0990989506,0.0631677359,-0.0339246094,-0.115522638,0.0294930451,0.0208633151,-0.1275560707,0.1838501841,-0.1223390326,0.2210970372,0.070860751,-0.2080895305,-0.0771460235,-0.0384930745,0.1893789172,-0.0895773619,-0.2276177704,-0.0895082876,-0.039557226,0.0330528319,0.0022003874,-0.0076445416,0.0264025033,-0.1375879347,-0.3429462016,-0.053980127,-0.0643044189,-0.0013871733,-0.1093892008,-0.0042443019,0.0320491418,-0.1910661161,0.0175155699,0.0447131619,0.1159256548,-0.0340314209,-0.0592522286,0.17693232,0.0685391724,-0.2895464301,-0.0651619285,0.1003434807,0.2500387728,0.1900968254,-0.0187718179,0.0005594026,-0.0827713832,0.0942955315,-0.2559849024,0.03774333,0.1028305963,0.033944048,0.1142794266,0.0476953425,-0.1561240554,0.0165009201,0.0550846122,-0.2186791003,-0.0489985012,-0.0155876437,-0.1306720078,-0.1101156324,-0.0499372184,0.226505518,0.1571523398,-0.0834842771,-0.1368562877,0.2260900438,-0.2031976134,-0.0885248482,0.0238431208,-0.08203879,-0.1410701275,-0.2745637,-0.0206544213,0.4700596035,0.1612623483,-0.1849562228,0.0696855485,-0.0759254023,-0.0179373845,0.0483690277,0.1133548617,-0.0099355318,0.1244084388,-0.0582648367,0.0273985565,0.2084856182,-0.0301233027,0.0001782402,0.2108579874,0.0018392429,0.0386578143,0.0980530083,0.0513305068,-0.0622099638,-0.0220784899,-0.2144511938,-0.1255086362,-0.0338588953,-0.0382950082,0.0460288152,0.0751044452,-0.2225227058,0.1685948074,0.0755224675,-0.0410544798,0.0129296109,0.0409044065,-0.039829392,-0.0827242136,0.1088183075,-0.248949185,0.2276048213,0.1811189651,0.0084703211,0.1656085551,0.0809628591,0.072024636,-0.0070750555,-0.1058490127,-0.1135592535,-0.0576246828,0.0106713269,-0.0403222889,0.0442712158,0.0273543298
0,-0.0639607385,0.058430545,0.070931606,0.0299145319,-0.0750966668,0.0269104075,-0.0350003801,-0.09711162,0.1537919044,-0.1043335348,0.1673859358,0.0445111692,-0.2269463837,-0.0925192311,-0.0057480112,0.1404984891,-0.1299832612,-0.1739655286,-0.0442548022,-0.0331961215,0.0694074109,-0.0084821712,0.0448957086,-0.0355575345,-0.1447837353,-0.3866993189,-0.0614672936,-0.0639589503,0.0295854192,-0.078326568,-0.005688563,0.0228774138,-0.2010813653,0.0107839564,-0.0031577945,0.1633915752,-0.0340764858,-0.0805843249,0.1297426373,0.0083934162,-0.2411709726,-0.0335809179,0.0667056516,0.1872462332,0.1949611902,0.0378666259,0.0077409819,-0.072721377,0.0978822559,-0.2880941331,0.0442556962,0.0707515478,0.0216202699,0.0887739658,0.0767204091,-0.1822046638,0.0268784054,0.0968589038,-0.2294385731,-0.020228412,-0.0490988828,-0.0679020137,-0.0513372496,-0.0048745554,0.212324813,0.1830646843,-0.0557809807,-0.1206043959,0.2355711907,-0.2066453099,-0.0493571013,0.0580720864,-0.0293849073,-0.1595829427,-0.2661263943,-0.0321128517,0.4538881779,0.1113509908,-0.1741934121,0.0390027873,-0.0406080335,-0.0257896353,0.0890099332,0.0744002312,-0.0325331278,0.064758718,-0.1272506565,-0.011688605,0.2340163291,-0.0012523988,-0.0170995127,0.1928467453,0.0343435183,0.0510369129,0.1212643534,0.0638460293,-0.0712296516,-0.0082182717,-0.2394709587,-0.129281342,0.0012235567,-0.0807868987,-0.0234666169,0.0729212612,-0.1822043508,0.1665689349,0.0614180341,-0.0587398447,0.0293675587,-0.0073191859,-0.0530041791,-0.01206588,0.1272147298,-0.2873101532,0.208001554,0.1849457026,0.0137219485,0.2086099982,0.0500508174,0.0846799016,-0.0181122236,-0.1059756055,-0.1734784991,-0.0782527775,-0.0230605565,-0.0338372625,0.0033639837,0.0514076687
0,-0.0315471105,0.0097662322,0.0395481065,-0.0190903954,-0.0997393206,0.0204854533,-0.0182475001,-0.0651655197,0.200186044,-0.1444199532,0.2061728388,0.0661286712,-0.2168640047,-0.080767408,0.0406578258,0.1623514295,-0.0928943083,-0.1731652021,-0.1028603911,-0.0302043241,0.0664240047,0.0166104883,0.0266733617,-0.0089980625,-0.1470265388,-0.4105260074,-0.0731705278,-0.0344274491,0.0013431255,-0.0864726529,0.0053330166,0.0697224066,-0.2092064768,-0.0042393189,0.0141821541,0.1562765837,-0.0581514724,-0.0917757824,0.1427308917,0.0562466308,-0.2741726041,-0.0705174878,0.0568647906,0.1854443401,0.1825604737,0.006633142,0.0280948803,-0.0431871675,0.0785676688,-0.3102471232,0.0712411925,0.0727956071,0.0221872292,0.1112997979,0.0903789625,-0.178904146,0.038343288,0.1104552075,-0.2324216962,-0.0257082414,-0.0296022017,-0.0804827735,-0.0603096001,-0.0010358095,0.2403127402,0.1826468259,-0.0803449452,-0.1165803447,0.2436147779,-0.1772506982,-0.0490102917,0.0405017994,-0.0771613121,-0.1894965768,-0.2896854281,-0.0032974007,0.4595445693,0.1168315783,-0.1822986454,0.0376652554,-0.0500745848,-0.021173209,0.076571539,0.0776832178,-0.003731085,0.075443536,-0.1047893167,0.0316325314,0.2294092923,0.0026840214,-0.0213180147,0.2545387149,0.0288851149,0.0428311601,0.1248777732,0.082418099,-0.0368864164,-0.0247951001,-0.2281498909,-0.0816292018,0.0147089567,-0.0826891735,-0.0207178742,0.083067067,-0.1715509444,0.1851706356,0.0562265366,-0.0362853706,0.0264982022,0.0160714909,-0.0915559977,-0.0683002919,0.1083212718,-0.2713370323,0.1914518923,0.1775027066,0.0313930213,0.2082405239,0.0497104302,0.0946210474,0.0020081932,-0.1272260249,-0.1887253225,-0.0524275154,-0.0147796096,-0.0039837104,-0.0184410382,0.0759848356
0,-0.0364900008,0.0183773953,0.064509742,-0.0448168032,-0.0710729063,0.0449353941,-0.0240885448,-0.1187394485,0.1488624066,-0.1201978847,0.2396378219,0.0890476182,-0.2308406979,-0.1225805134,0.0089476891,0.1811921,-0.0986769795,-0.1908540279,-0.0737627447,-0.0398562178,0.0245599933,0.025749987,0.0347043499,0.0282005407,-0.1342237443,-0.3922184408,-0.0678596646,-0.0755127147,-0.0304338485,-0.0668664053,-0.0009179977,0.0851243958,-0.1974159181,0.0272732526,0.0149902813,0.1581041217,-0.053815227,-0.0888476819,0.1528919637,0.0762873664,-0.2407750487,-0.052861616,0.0662222207,0.2131733745,0.2156216651,0.0006660223,0.0394810438,-0.0539814122,0.0990767106,-0.3053824008,0.0724249184,0.0691604987,0.0189057142,0.0937835425,0.0796014145,-0.1740754247,0.0312316362,0.08112932,-0.220756039,-0.0169424452,-0.0665917173,-0.1281279027,-0.0896217227,-0.037665166,0.2272888124,0.1657184511,-0.0945652872,-0.0954113156,0.2497914433,-0.1728056371,-0.0916384757,0.0448138714,-0.1060725749,-0.1673345715,-0.3192526698,0.0165365729,0.4561859965,0.1374165118,-0.2034599036,0.0569904149,-0.0235775225,-0.0049225129,0.0806993023,0.1246419325,0.0172962472,0.0550942943,-0.1009807587,0.0078653358,0.1983458996,0.0019182358,-0.0274773221,0.261983186,-0.0023887455,0.0648154169,0.1323888153,0.1096247137,-0.0293814428,-0.0234883539,-0.2224674523,-0.0955895633,0.0136959367,-0.0499513894,3.21064144373E-05,0.077231124,-0.1691071838,0.1646863967,0.040119607,-0.0286573227,0.0551865548,-0.0071120188,-0.0603403412,-0.0698755234,0.1103455052,-0.2776460052,0.1784230918,0.1821997166,0.0078961086,0.1955970228,0.0622190274,0.1047608554,-0.033572603,-0.1398919076,-0.1968404353,-0.0635978729,0.0161686484,-0.0026246365,-0.0053536883,0.0603585988
0,-0.1022516862,0.0734584108,0.058132343,-0.1151901037,-0.1024926305,0.0709527135,-0.0484656617,-0.0860063657,0.2354406267,-0.1774570197,0.1892719418,0.0546567626,-0.1702887714,-0.1240335256,-0.0404379405,0.1701376736,-0.1109529436,-0.27427876,-0.038469702,-0.0138189644,0.0103694536,-0.0273140613,0.0441237167,0.0504625328,-0.208673656,-0.4006502628,-0.0283560511,-0.0797770098,0.0022460409,-0.095229283,0.0192783773,0.0315684788,-0.2663613856,0.0348001719,-0.0453893393,0.1798822731,-0.0295485444,-0.0547839515,0.1825480014,0.0155623788,-0.3078716397,-0.0747274905,0.0163092315,0.2206056565,0.2136448771,-0.0225556009,0.0368333906,-0.0950092897,0.141635254,-0.2970997989,0.0847831741,0.105164513,0.0019082688,0.0677977949,0.0510533676,-0.1177111492,0.0241631679,0.0921936631,-0.1376847476,-0.0291547403,-0.0597881153,-0.0559956171,-0.0459812544,-0.0590405129,0.273802489,0.1131018549,-0.0790955573,-0.1316216141,0.2370625287,-0.1663879305,-0.0276807714,0.130208686,-0.0824255198,-0.14697586,-0.3173587322,-0.0004313933,0.4274304211,0.1376945376,-0.1523098946,0.0728648826,-0.1046378165,0.0251292735,0.0398517214,0.1132322922,-0.0168242808,0.0909471214,-0.0861729681,0.0386325866,0.2696495354,-0.0209081043,-0.0369167253,0.2069807947,0.0213594511,0.0621069632,0.0745899677,0.0880631134,-0.0585230514,-0.0003798492,-0.1752523482,-0.0651288629,0.0509402007,0.0285883583,0.0014674887,0.1160919964,-0.1945304573,0.1614071578,0.0202845577,-0.0159194767,0.0737411529,0.0583173782,-0.0460638963,-0.1439907402,0.1164819673,-0.2554906011,0.1761918664,0.1649439484,0.0080464389,0.1792289019,0.1004413366,0.093152076,-0.0336454697,-0.0753369331,-0.1328549534,-0.022088958,0.0395178571,-0.0304025915,0.0521535985,0.0498299748
0,-0.1256572008,0.0386168286,0.0827238113,0.0020265877,-0.081769079,-0.0498279072,0.0025338717,-0.0453055874,0.1304114014,-0.099251695,0.2192587256,0.013818562,-0.1097473055,-0.1119697243,0.006022647,0.0989800915,-0.092274487,-0.1810832918,-0.0770061687,-0.1023007333,-0.0104751438,0.038005162,-0.0486106575,0.0446825959,-0.1295502186,-0.2215849906,-0.0576670431,-0.1644697934,0.1042988375,-0.129385978,-0.0628318787,-0.0311298426,-0.1518367827,-0.0640102029,-0.017210044,0.1053273007,0.058677841,-0.0644937679,0.1797458828,0.0348831788,-0.1706702709,-0.047584217,0.0164221078,0.3158101439,0.1584859788,-0.0328429118,0.0169367827,0.0113721173,0.1636851281,-0.2338646501,0.1172054857,0.0472290032,0.1790416837,0.0910975412,0.0169620048,-0.171215862,0.0120563861,0.0707007945,-0.188830629,0.052558925,0.059046343,-0.0314454548,-0.0580353439,-0.0178184845,0.2610509396,0.1231499612,-0.0594072416,-0.1603334993,0.1475576758,-0.1679601818,-0.0423940979,0.0958950371,-0.1006099731,-0.0716564804,-0.2247356176,0.0912559256,0.3819019198,0.1145315841,-0.1672727317,0.041423738,-0.1599457264,0.0065259263,0.0425465591,-0.0037659826,-0.0270629153,0.1034299433,-0.103208214,0.0161732286,0.2152003944,-0.0264842343,-0.0189186092,0.1292102933,0.0225588512,-0.0059009101,0.0695987195,-0.00314226,-0.0217558667,0.0143327676,-0.0545147657,0.0100687351,0.0512851365,-0.0874934644,0.0320493132,0.0248193257,-0.2288328409,0.1689361185,0.0318082646,0.0029852632,-0.0014210138,0.0120473616,-0.0931840837,-0.0239277259,0.1791775376,-0.2534763813,0.2020209134,0.1321710497,0.050770577,0.169987455,0.0313789546,0.0641646311,-0.0259403959,-0.0395587906,-0.0979150385,-0.0470488146,0.0316269323,-0.0487904213,0.052679725,0.0925445259
0,-0.0348266549,0.0219424367,0.0470111668,-0.0454263091,-0.0900152102,0.069568038,0.013247313,-0.0783942044,0.1887373477,-0.1254089475,0.2264831364,0.0824570283,-0.2107437402,-0.1089692935,-0.0111553036,0.1711035073,-0.0909964889,-0.2207925618,-0.0859977081,-0.0297231935,0.0290016197,-0.0147102643,-0.0039976873,0.0355706625,-0.1274912208,-0.3606348932,-0.0481847897,-0.0689126179,0.0050127041,-0.1125888973,-0.0240207501,0.1226430386,-0.1718071103,-0.0069773104,0.0449603871,0.154011786,-0.0644319877,-0.0644637793,0.1773229688,0.0721926093,-0.2339301407,-0.0273328982,0.0716720521,0.259014219,0.2028986812,0.0036198627,0.006594887,-0.0629357174,0.1074646711,-0.3107739389,0.0566008836,0.1142327636,0.0703535229,0.1064527482,0.0691535473,-0.1916341484,0.020236358,0.0665254891,-0.2525604069,0.0016009724,-0.0856441036,-0.1312666237,-0.1025164202,-0.0480659604,0.2194023728,0.180948168,-0.0898379385,-0.1423864663,0.2491136193,-0.1517315209,-0.0546490736,0.0648456886,-0.125352025,-0.1606099904,-0.2516024411,0.0085159652,0.428190589,0.132779628,-0.1692173332,0.0652529821,-0.0709719285,-0.0243495069,0.0035413923,0.0888675749,-0.028573703,0.0485900529,-0.0669430047,0.030508697,0.1586514264,-0.0148999039,-0.0206114817,0.2243642509,0.000781998,0.024264507,0.1042784005,0.0750258714,-0.0569445863,-0.0069795437,-0.2397259921,-0.1469311714,0.0110855233,-0.0689869151,0.0491515696,0.0867891163,-0.201423198,0.1321367472,0.0274626147,-0.0237286035,0.0606816895,0.0082570761,-0.0787589923,-0.0778069645,0.1190997958,-0.2924412191,0.1955465078,0.1855578423,0.0376193151,0.1561990827,0.0797786862,0.070909664,0.0035802838,-0.1248825118,-0.1533981562,-0.0277632419,0.0221813396,0.0088948496,-0.0210045725,0.0381965898
0,-0.1104787737,0.0071329223,0.0339380056,-0.0127016343,-0.0622227415,0.0168223716,0.0042900406,-0.1218184084,0.1577797681,-0.1299460679,0.1620500088,0.0194448624,-0.236449942,-0.0898950621,-0.0467145815,0.1407440007,-0.1113843322,-0.2000683546,-0.0697692484,-0.08119829,0.0687733144,0.0262881126,-0.0455243513,-0.012822587,-0.121381864,-0.3507719636,-0.0874491781,-0.0764724761,-0.0118530951,-0.0681219026,-0.0005160961,0.0559352003,-0.2447279096,-0.0025801212,-0.0265000481,0.1714290082,-0.0127299847,-0.0312110186,0.1292038858,0.0701717138,-0.2000256777,-0.0529318154,0.09826193,0.2250937223,0.1886618733,0.0436012074,-0.03644339,-0.0358176604,0.0502153412,-0.2951911986,0.0317794606,0.1138909459,0.0979740471,0.1497093439,0.0233552046,-0.1983124912,0.0067531243,0.0311857164,-0.2070220858,0.0424842164,-0.0332812145,-0.1276921928,-0.0812280625,-0.0093377177,0.245336473,0.1427672207,-0.1107926816,-0.111043945,0.2557106316,-0.2088311017,-0.0795331448,0.0365805104,-0.0747529119,-0.1649205089,-0.3143039346,0.054561276,0.4594388008,0.1380634606,-0.1911896914,-0.0024102125,-0.100513801,-0.0287146904,0.053545963,0.0879420564,0.0130908303,0.0360390246,-0.1171856299,0.0199761614,0.203127116,-0.0101078469,-0.0333296433,0.2125653028,0.0022194907,0.0709715188,0.0424128324,0.1310650855,-0.0705190748,-0.0140814222,-0.182042405,-0.0926732868,0.0336130932,-0.0635347366,0.005680358,0.1354646683,-0.1271569431,0.1768411994,0.0366449915,-0.0602221601,-0.0013907719,0.0199267343,-0.0682712197,-0.0536840111,0.123027049,-0.2444746494,0.2171370536,0.2141473591,-0.0175744016,0.1898619384,0.0526244938,0.1195976883,-0.018405823,-0.100962311,-0.2019757777,-0.1030987054,-0.0365517512,0.0056335521,-0.024260506,0.0815894157
0,-0.1205751225,0.1174273416,0.0598722436,-0.008004196,-0.1245971248,-0.0235481169,-0.0677963644,-0.1343775392,0.1839625835,-0.1210953593,0.1835976392,0.0116268843,-0.176840663,-0.0677695721,-0.0290715694,0.1291208416,-0.101215601,-0.1927888244,-0.0626799315,-0.0943878889,-0.0013845712,0.0503872037,-0.0402236059,0.0272519886,-0.1329044998,-0.3094373047,-0.0542001314,-0.0935045332,0.0054739006,-0.0913155451,-0.0397507809,0.0362476707,-0.2040518671,-0.0193127766,0.0166212246,0.1480461061,0.0141513431,0.041658029,0.1349604875,0.0454831347,-0.1771207303,-0.0450010784,0.0490944795,0.2576595247,0.1458853483,0.0283546411,0.014241091,-0.1167172715,0.1063587815,-0.2247890085,0.0853272527,0.1273601353,0.0621114187,0.0742148161,0.0768162236,-0.1778978556,-0.0409900658,0.0392721891,-0.1289741397,0.0662322938,0.0682975128,-0.0647101551,-0.1576868296,-0.0844196901,0.2485593855,0.1148108765,-0.0854948387,-0.1565120965,0.1445086896,-0.1665035784,-0.0924438685,0.1163803712,-0.0511476137,-0.1212999523,-0.2965733409,0.0262128524,0.4481907189,0.1046842635,-0.2109889984,0.0058143921,-0.1146101281,-0.0328216739,0.0696190223,0.0192175396,-0.0273624305,0.069951728,-0.1123339534,0.0549017563,0.2253457159,-0.0210191309,0.0066469982,0.1665598303,0.0035618059,0.0724458545,0.0065389611,0.0830267295,-0.0834167823,-0.0372314602,-0.1432072371,-0.1076774746,0.0828600824,-0.0282452255,-0.0173346102,0.0603063069,-0.2010672987,0.161359027,0.0452790633,-0.030143613,-0.0007378133,0.019411074,-0.0985291898,-0.0361540094,0.1903731525,-0.25474298,0.2091641575,0.1344055533,-0.0063328873,0.156637758,0.0477128923,0.0753422752,-0.0585524961,-0.0915550441,-0.1165715307,-0.0880815536,0.0019957116,-0.0339748152,0.0192749128,0.0414847806
0,-0.0518278964,0.0208800435,0.0754421577,-0.0561467484,-0.0633577481,-0.0053557879,-0.0202093851,-0.1178338453,0.1523241252,-0.1069328785,0.1787478626,0.0247552376,-0.1566582918,-0.0984101892,-0.0329660885,0.1546247005,-0.1142403632,-0.2236504853,-0.0260055661,-0.014667429,0.0103934631,0.0482248366,0.0110064521,0.0549229458,-0.1377530843,-0.3352352381,0.0101850219,-0.1134584323,-0.001454005,-0.0762450844,-0.0010886462,0.1209360436,-0.2588739097,0.0177329518,0.0070758313,0.1422906369,-0.0465845168,-0.0503668711,0.1438872665,0.0424267389,-0.2778730989,-0.0143563692,0.0702219456,0.2093428969,0.1968158484,0.0040114708,-0.0117527051,-0.1103620678,0.1048744172,-0.305862844,0.0605706759,0.0897887275,-0.0097111464,0.0722690672,0.0363817587,-0.1940148324,0.0346309543,-0.020926429,-0.2423900515,0.0148910834,-0.0408218317,-0.0397647768,-0.0590564273,-0.0482762456,0.2067706138,0.1351422071,-0.0568124428,-0.1297249794,0.2072948813,-0.2140012831,-0.0786370859,0.1408418566,-0.0636909679,-0.1502802372,-0.2838946283,-0.0379886143,0.3901104629,0.106281653,-0.1485536993,0.0754693151,-0.0507206321,-0.0372766256,0.0557431318,0.0947886705,0.0188892707,0.0606075041,-0.0567405075,0.0270572715,0.2311298847,0.0119963568,-0.052397795,0.2097411305,-0.0089384615,0.0233183503,0.0676047653,0.09386985,-0.0428690948,0.008852724,-0.2191448808,-0.1128004119,0.0078089191,0.0173646286,-0.0143481903,0.1326887161,-0.2018179744,0.1788270175,0.0241757017,-0.0478239208,0.051942803,0.0168607682,-0.0393825993,-0.0476591326,0.0979901999,-0.2371583134,0.2413082421,0.1380066127,0.0664236099,0.1370205134,0.0314329192,0.0276335515,-0.029696621,-0.1080210581,-0.1981130689,-0.0575273857,0.038520664,-0.044818379,0.026758736,0.0513153151
